Poste,Date,Timestamp,Categorie,Plaque
E10,2025-06-03,07:48:28,PL,GY-684-XY
E10,2025-06-03,07:48:31,VL,6907 YV 56
E10,2025-06-03,07:48:33,VL,HA-371-WM
E10,2025-06-03,07:48:37,VL,FY-789-AB
E10,2025-06-03,07:48:42,VL,EV-587-LD
E10,2025-06-03,07:49:19,INCONNU,GN-626-XA
E10,2025-06-03,07:49:20,INCONNU,CAM1XA*
E10,2025-06-03,07:49:27,PL,DU081**
E10,2025-06-03,07:49:30,VL,GN-114-PN
E10,2025-06-03,07:49:33,VL,CH-717-CC
E10,2025-06-03,07:49:37,VL,GG-042-GL
E10,2025-06-03,07:49:40,VL,FP-942-HM
E10,2025-06-03,07:49:46,VL,FP-852-KP
E10,2025-06-03,07:49:49,BUS,FT-196-SB
E10,2025-06-03,07:49:50,VL,AX-924-DF
E10,2025-06-03,07:49:53,VL,BV-703-BN
E10,2025-06-03,07:49:54,VL,DS-279-BF
E10,2025-06-03,07:49:56,VL,DW-631-PE
E10,2025-06-03,07:50:31,VL,CV-533-TD
E10,2025-06-03,07:50:33,VL,GA-912-BW
E10,2025-06-03,07:50:34,MOTO,GV-165-ER
E10,2025-06-03,07:50:39,PL,FD-837-QV
E10,2025-06-03,07:50:42,VL,SJ92RPN
E10,2025-06-03,07:50:44,PL,GW-641-DQ
E10,2025-06-03,07:50:48,VL,EV-687-BS
E10,2025-06-03,07:50:50,VL,GG-078-KR
E10,2025-06-03,07:50:54,VL,ED-689-JF
E10,2025-06-03,07:51:04,VL,DE-608-SE
E10,2025-06-03,07:51:49,VL,GA-742-RZ
E10,2025-06-03,07:51:53,VL,FT-432-KV
E10,2025-06-03,07:51:55,VL,CR-129-AE
E10,2025-06-03,07:51:57,VL,ED-524-MD
E10,2025-06-03,07:52:01,VL,CZ-733-DF
E10,2025-06-03,07:52:04,VL,DY-190-AQ
E10,2025-06-03,07:52:05,VL,EP-626-WA
E10,2025-06-03,07:52:07,VL,GE-174-LZ
E10,2025-06-03,07:52:11,VL,BP-482-TN
E10,2025-06-03,07:52:14,VL,FT-637-FN
E10,2025-06-03,07:52:17,VL,AB-139-MK
E10,2025-06-03,07:52:19,VL,HD-723-PE
E10,2025-06-03,07:52:21,VL,AQ-221-NZ
E10,2025-06-03,07:52:23,VL,FQ-557-ZR
E10,2025-06-03,07:52:25,VL,FB-961-EJ
E10,2025-06-03,07:53:00,BUS,AR-004-NT
E10,2025-06-03,07:53:02,VL,ES-396-SX
E10,2025-06-03,07:53:04,VL,GY-074-NF
E10,2025-06-03,07:53:06,VL,EB-037-SD
E10,2025-06-03,07:53:09,VL,CK-105-GV
E10,2025-06-03,07:53:14,PL,CE-689-HS
E10,2025-06-03,07:53:17,VL,2253 ZB 58
E10,2025-06-03,07:53:19,VL,DG-802-SL
E10,2025-06-03,07:53:22,VL,FF-825-YS
E10,2025-06-03,07:53:24,VL,AN-929-HJ
E10,2025-06-03,07:53:27,VL,HA-705-AB
E10,2025-06-03,07:53:29,BUS,ED-496-FS
E10,2025-06-03,07:53:36,VL,ES-094-HX
E10,2025-06-03,07:53:37,PL,BW-001-BW
E10,2025-06-03,07:53:39,VL,GW-468-CZ
E10,2025-06-03,07:53:42,VL,EY-173-KB
E10,2025-06-03,07:53:47,VL,CD-298-SN
E10,2025-06-03,07:54:12,VL,GG-187-YF
E10,2025-06-03,07:54:16,VL,DJ-136-LV
E10,2025-06-03,07:54:21,VL,BN-005-LS
E10,2025-06-03,07:54:23,VL,CZ-096-NH
E10,2025-06-03,07:54:25,VL,ET-217-NV
E10,2025-06-03,07:54:28,VL,FE-658-PN
E10,2025-06-03,07:54:30,INCONNU,GT-885-VR
E10,2025-06-03,07:54:48,BUS,FB-576-XS
E10,2025-06-03,07:54:51,VL,GS-403-BP
E10,2025-06-03,07:54:54,VL,GL-001-CK
E10,2025-06-03,07:54:57,VL,EG-773-CN
E10,2025-06-03,07:55:06,VL,3382 YE 56
E10,2025-06-03,07:55:12,PL,GG-121-XJ
E10,2025-06-03,07:55:18,VL,GX-901-WQ
E10,2025-06-03,07:55:20,VL,HC-911-VF
E10,2025-06-03,07:55:37,VL,AW-465-LK
E10,2025-06-03,07:55:38,VL,EW-901-TM
E10,2025-06-03,07:55:41,VL,FT-449-RC
E10,2025-06-03,07:55:45,VL,EP-288-WB
E10,2025-06-03,07:55:50,VL,FP-038-AY
E10,2025-06-03,07:55:52,VL,EW-915-MB
E10,2025-06-03,07:55:59,VL,FM-559-HN
E10,2025-06-03,07:56:01,VL,BC-062-JQ
E10,2025-06-03,07:56:04,VL,FP-896-XF
E10,2025-06-03,07:56:05,VL,BB-218-RB
E10,2025-06-03,07:56:09,VL,CV-410-PC
E10,2025-06-03,07:56:11,PL,CLK87TN
E10,2025-06-03,07:56:13,VL,GA-400-XR
E10,2025-06-03,07:56:20,VL,GF-676-BA
E10,2025-06-03,07:56:50,VL,DE-546-GS
E10,2025-06-03,07:56:52,VL,CS-159-RJ
E10,2025-06-03,07:57:02,VL,AH-407-HF
E10,2025-06-03,07:57:05,PL,DA-044-VR
E10,2025-06-03,07:57:07,PL,FJ-063-SC
E10,2025-06-03,07:57:11,VL,AS-867-WA
E10,2025-06-03,07:57:13,VL,GJ-684-RR
E10,2025-06-03,07:57:15,VL,FN-812-KR
E10,2025-06-03,07:57:19,PL,PTU2216H
E10,2025-06-03,07:57:21,VL,CD-297-GM
E10,2025-06-03,07:57:23,VL,FR-144-XD
E10,2025-06-03,07:57:27,VL,AW-827-CN
E10,2025-06-03,07:58:06,VL,BP-727-JG
E10,2025-06-03,07:58:11,VL,BB-354-NW
E10,2025-06-03,07:58:14,VL,GV-167-GH
E10,2025-06-03,07:58:15,PL,FY-358-CG
E10,2025-06-03,07:58:18,VL,BN-651-FC
E10,2025-06-03,07:58:21,VL,DR-704-NH
E10,2025-06-03,07:59:05,VL,FK-824-DP
E10,2025-06-03,07:59:07,VL,GV-204-CW
E10,2025-06-03,07:59:13,VL,GY-515-TH
E10,2025-06-03,07:59:23,VL,DX-187-FB
E10,2025-06-03,07:59:27,VL,ED-052-BD
E10,2025-06-03,07:59:31,VL,CR-397-QT
E10,2025-06-03,08:00:14,VL,BE-424-MG
E10,2025-06-03,08:00:17,BUS,FX-142-CV
E10,2025-06-03,08:00:19,VL,DJ-355-CN
E10,2025-06-03,08:00:20,VL,4M3F28*
E10,2025-06-03,08:00:21,VL,DZ-656-ME
E10,2025-06-03,08:00:23,VL,FW-926-BC
E10,2025-06-03,08:00:26,VL,FF-707-AB
E10,2025-06-03,08:00:30,PL,FV-739-GY
E10,2025-06-03,08:00:31,VL,DZ-153-XN
E10,2025-06-03,08:00:35,VL,EY-446-MJ
E10,2025-06-03,08:00:45,VL,GE-880-LP
E10,2025-06-03,08:00:46,VL,DM-479-TZ
E10,2025-06-03,08:01:22,VL,FC-978-RN
E10,2025-06-03,08:01:24,VL,FX-132-EB
E10,2025-06-03,08:01:44,PL,AF-451-PA
E10,2025-06-03,08:01:48,VL,FZ-896-DY
E10,2025-06-03,08:01:51,VL,FK-661-YM
E10,2025-06-03,08:02:25,VL,GE-658-YH
E10,2025-06-03,08:02:29,VL,GE-556-DR
E10,2025-06-03,08:02:51,INCONNU,EN-968-WL
E10,2025-06-03,08:02:54,VL,EC-135-JM
E10,2025-06-03,08:02:56,INCONNU,AR-434-QP
E10,2025-06-03,08:03:29,INCONNU,GA-772-MS
E10,2025-06-03,08:03:36,PL,FK-967-QT
E10,2025-06-03,08:03:40,INCONNU,EG-486-VJ
E10,2025-06-03,08:03:54,INCONNU,GQ-826-YX
E10,2025-06-03,08:03:56,VL,BZ-442-YC
E10,2025-06-03,08:04:01,PL,CH-140-KN
E10,2025-06-03,08:04:03,VL,FE-693-GP
E10,2025-06-03,08:04:11,PL,JE9PM**
E10,2025-06-03,08:04:12,PL,6U8090*
E10,2025-06-03,08:04:13,PL,GY-293-KR
E10,2025-06-03,08:04:16,VL,AX-129-ZW
E10,2025-06-03,08:04:17,BUS,GN-454-EQ
E10,2025-06-03,08:04:20,VL,FJ-986-NM
E10,2025-06-03,08:04:21,VL,CE-072-CE
E10,2025-06-03,08:04:24,VL,FB-483-QR
E10,2025-06-03,08:04:59,VL,CG-617-YD
E10,2025-06-03,08:05:06,VL,EJ-483-MJ
E10,2025-06-03,08:05:17,VL,HA-330-LY
E10,2025-06-03,08:05:19,VL,FA-779-HV
E10,2025-06-03,08:05:24,VL,CP-118-JW
E10,2025-06-03,08:05:26,VL,CC-676-XK
E10,2025-06-03,08:05:27,VL,DT-417-CM
E10,2025-06-03,08:05:59,VL,CX-489-PP
E10,2025-06-03,08:06:00,PL,AW-271-TK
E10,2025-06-03,08:06:02,VL,GC-963-ZH
E10,2025-06-03,08:06:05,VL,291HS**
E10,2025-06-03,08:06:08,VL,FB-973-JR
E10,2025-06-03,08:06:13,VL,HA-676-LQ
E10,2025-06-03,08:06:16,VL,FR-849-MS
E10,2025-06-03,08:06:20,PL,GJ-294-KC
E10,2025-06-03,08:06:22,VL,FN-764-CY
E10,2025-06-03,08:06:25,VL,662LN**
E10,2025-06-03,08:06:26,VL,AT-186-EZ
E10,2025-06-03,08:06:30,VL,GC-147-NB
E10,2025-06-03,08:06:31,VL,DW-873-DN
E10,2025-06-03,08:06:32,BUS,FX-525-GC
E10,2025-06-03,08:06:42,VL,DJ-154-JR
E10,2025-06-03,08:06:44,VL,DV-636-CM
E10,2025-06-03,08:07:12,PL,EQ-913-GP
E10,2025-06-03,08:07:15,INCONNU,FN-609-NA
E10,2025-06-03,08:07:18,VL,CR-311-TD
E10,2025-06-03,08:07:21,VL,BA-116-JV
E10,2025-06-03,08:07:24,VL,FA-844-VE
E10,2025-06-03,08:07:27,VL,EA-512-PV
E10,2025-06-03,08:07:29,VL,DS-062-DX
E10,2025-06-03,08:07:32,VL,GV-164-TM
E10,2025-06-03,08:07:34,VL,CX-886-PE
E10,2025-06-03,08:07:36,VL,GS-221-ED
E10,2025-06-03,08:07:38,VL,EW-031-QB
E10,2025-06-03,08:07:39,VL,BH-470-DF
E10,2025-06-03,08:07:41,VL,CT-587-RR
E10,2025-06-03,08:07:43,VL,GJ-951-PR
E10,2025-06-03,08:07:45,VL,BZ-401-VM
E10,2025-06-03,08:07:47,VL,FR-175-AQ
E10,2025-06-03,08:07:49,VL,AA-825-SZ
E10,2025-06-03,08:07:53,VL,GL-013-RM
E10,2025-06-03,08:07:56,VL,GJ-688-VB
E10,2025-06-03,08:07:57,VL,CAM1VB*
E10,2025-06-03,08:07:58,BUS,EX-057-AY
E10,2025-06-03,08:08:03,VL,ER-574-SW
E10,2025-06-03,08:08:39,VL,CG-012-WB
E10,2025-06-03,08:08:41,VL,DT-689-ER
E10,2025-06-03,08:09:04,PL,CT-872-MS
E10,2025-06-03,08:09:05,VL,DJ-751-DH
E10,2025-06-03,08:09:08,VL,CN-909-XD
E10,2025-06-03,08:09:11,VL,GY-051-LV
E10,2025-06-03,08:09:12,VL,DA-056-AB
E10,2025-06-03,08:09:15,PL,ER-785-DN
E10,2025-06-03,08:09:19,VL,GA-490-RP
E10,2025-06-03,08:09:21,VL,DB-421-HY
E10,2025-06-03,08:09:22,VL,CG-030-WY
E10,2025-06-03,08:09:25,VL,FH-025-JG
E10,2025-06-03,08:09:27,VL,AP-221-JQ
E10,2025-06-03,08:09:30,INCONNU,EQ-491-LH
E10,2025-06-03,08:09:32,VL,GS-663-HC
E10,2025-06-03,08:10:11,VL,CC-275-TC
E10,2025-06-03,08:10:14,VL,DW-873-QA
E10,2025-06-03,08:10:17,VL,HB-524-QM
E10,2025-06-03,08:10:27,INCONNU,ED-965-AM
